
> thowil-mobile@1.0.0 start
> node scripts/serve-web.js

 INFO  Accepting connections at http://0.0.0.0:3000
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109755-10988
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109762-10989
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109768-10990
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109775-10991
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109783-10992
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109792-10993
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109799-10994
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109804-10995
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109814-10996
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109822-10997
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109832-10998
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109840-10999
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109847-11000
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109858-11001
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109865-11002
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109872-11003
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109880-11004
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109886-11005
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109893-11006
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109900-11007
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109907-11008
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109914-11009
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109921-11010
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109928-11011
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109935-11012
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109942-11013
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109950-11014
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109958-11015
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109964-11016
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109969-11017
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109976-11018
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109983-11019
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109990-11020
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109997-11021
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110004-11022
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110011-11023
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110018-11024
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110025-11025
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110032-11026
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110039-11027
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110046-11028
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110053-11029
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110063-11030
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110070-11031
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110077-11032
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110086-11033
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110095-11034
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110103-11035
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110115-11036
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110123-11037
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110131-11038
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110139-11039
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110145-11040
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110151-11041
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110159-11042
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110167-11043
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110175-11044
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110184-11045
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110193-11046
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110200-11047
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110209-11048
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110218-11049
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110227-11050
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110236-11051
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110243-11052
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110252-11053
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110262-11054
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110270-11055
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110278-11056
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110284-11057
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110297-11058
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110304-11059
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110312-11060
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110320-11061
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110327-11062
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110337-11063
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110346-11064
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110354-11065
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110361-11066
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110367-11067
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110380-11068
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110387-11069
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110401-11070
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110409-11071
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806110417-11072
 HTTP  5/3/2026 4:31:50 PM 127.0.0.1 Returned 200 in 1 ms
